id,compound_id,delta_ppm,multiplicity,j_value,proton_count,assignment,solvent,instrument_mhz,note
20,1,1.55,m,,2H,H-1a,CDCl3,500.0,
21,1,1.68,m,,1H,H-1b,CDCl3,500,
22,1,1.74,m,,1H,H-2a,CDCl3,500,
23,1,1.09,dddd,"12.5, 12.5, 12.5, 3.6 Hz",1H,H-2b,CDCl3,500,
24,1,1.59,m,,1H,H-3,CDCl3,500,
25,1,1.0,m,,1H,H-4,CDCl3,500,
26,1,1.56,m,,1H,H-5a,CDCl3,500,
27,1,1.75,m,,1H,H-5b,CDCl3,500,
28,1,1.54,m,,1H,H-6a,CDCl3,500,
29,1,1.54,m,,1H,H-6b,CDCl3,500,
30,1,1.81,m,,1H,H-8,CDCl3,500,
31,1,1.7,m,,1H,H-9a,CDCl3,500,
32,1,2.23,m,,1H,H-9b,CDCl3,500,
33,1,1.68,m,,1H,H-10a,CDCl3,500,
34,1,2.11,dt,"17.7, 8.8 Hz",1H,H-10b,CDCl3,500,
35,1,4.93,s,,1H,H-12,CDCl3,500,
36,1,1.84,m,,1H,H-14,CDCl3,500,
37,1,4.67,s,,1H,H-16a,CDCl3,500,
38,1,4.83,s,,1H,H-16b,CDCl3,500,
39,1,1.72,s,,3H,H3-17,CDCl3,500,
40,1,0.85,d,6.5 Hz,3H,H3-18,CDCl3,500,
41,1,1.34,s,,3H,H3-19,CDCl3,500,
42,1,1.68,s,,3H,H3-20,CDCl3,500,
43,2,1.57,m,,1H,H-1a,CDCl3,500.0,
44,2,1.65,m,,1H,H-1b,CDCl3,500.0,
45,2,1.1,dddd,"12.4, 12.4, 12.4, 3.8",1H,H-2b,CDCl3,500.0,
46,2,1.57,m,,1H,H-3,CDCl3,500.0,
47,2,1.02,dt,"11.1, 3.2",1H,H-4,CDCl3,500.0,
48,2,1.58,m,,1H,H-5a,CDCl3,500.0,
49,2,1.83,m,,1H,H-5b,CDCl3,500.0,
50,2,1.7,m,,1H,H-6a,CDCl3,500.0,
51,2,1.7,m,,1H,H-6b,CDCl3,500.0,
52,2,1.81,m,,1H,H-8,CDCl3,500.0,
53,2,1.73,m,,1H,H-9a,CDCl3,500.0,
54,2,2.3,m,,1H,H-9b,CDCl3,500.0,
55,2,1.71,m,,1H,H-10a,CDCl3,500.0,
56,2,2.18,m,,1H,H-10b,CDCl3,500.0,
57,2,4.94,s,,1H,H-12,CDCl3,500.0,
58,2,1.85,m,,1H,H-14,CDCl3,500.0,
59,2,4.68,s,,1H,H-16a,CDCl3,500.0,
60,2,4.85,s,,1H,H-16b,CDCl3,500.0,
61,2,1.72,s,,1H,H3-17,CDCl3,500.0,
62,2,0.85,d,6.5,1H,H3-18,CDCl3,500.0,
63,2,1.46,s,,1H,H3-19,CDCl3,500.0,
64,2,1.75,s,,1H,H3-20,CDCl3,500.0,
65,4,6.14,d,10.8,1H,H-3,CDCl3,500.0,
66,4,3.21,m,,1H,H-4,CDCl3,500.0,
67,4,1.86,ddd,"14.0, 9.0, 4.6",1H,H-5a,CDCl3,500.0,
68,4,1.22,ddd,"14.0, 9.2, 4.6",1H,H-5b,CDCl3,500.0,
69,4,2.51,m,,1H,H-6,CDCl3,500.0,
70,4,2.63,dd,"17.6, 3.2",1H,H-8a,CDCl3,500.0,
71,4,2.55,dd,"17.6, 8.5",1H,H-8b,CDCl3,500.0,
72,4,4.11,tdd,"8.6, 6.3, 3.2",1H,H-9,CDCl3,500.0,
73,1,5.45,brs,,1H,OH,CDCl3,500.0,
74,4,1.66,ddd,"13.4, 8.2, 4.5",1H,1-10a,CDCl3,500.0,
75,4,1.53,m,,1H,1-10b,CDCl3,500.0,
76,4,3.6,dddd,"15.3, 8.5, 8.3, 5.0",1H,1-11a,CDCl3,500.0,
77,4,3.21,m,,1H,1-11b,CDCl3,500.0,
78,4,6.12,t,5.0,1H,NH,CDCl3,500.0,
79,1,2.22,m,,2H,H2-13,CDCl3,500.0,
80,4,2.3,dt,"13.3, 6.7",2H,H2-14,CDCl3,500.0,
81,4,5.3,dt,"15.4, 6.6",1H,H-15,CDCl3,500.0,
82,4,5.51,dd,"15.4, 1.3",1H,H-16,CDCl3,500.0,
83,4,0.98,s,,3H,H3-18,CDCl3,500.0,
84,4,0.98,s,,3H,H3-19,CDCl3,500.0,
87,4,1.09,d,7.1,3H,H3-21,CDCl3,500.0,
88,4,1.02,d,6.6,3H,H3-22,CDCl3,500.0,
89,4,3.81,s,,3H,H3-23,CDCl3,500.0,
90,4,0.98,s,,3H,H3-20,CDCl3,500.0,
